Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_Spine1_Ethernet2
Et2                            up             up                 P2P_Spine2_Ethernet2
Et3                            up             up                 MLAG_Leaf1_Ethernet3
Et4                            up             up                 MLAG_Leaf1_Ethernet4
Et5                            up             up                 SERVER_Host-A_Ethernet2
Et6                            up             up                 SERVER_Host-B_Ethernet2
Lo0                            up             up                 ROUTER_ID
Lo1                            up             up                 VXLAN_TUNNEL_SOURCE
Ma0                            up             up                 OOB_MANAGEMENT
Po3                            up             up                 MLAG_Leaf1_Port-Channel3
Po5                            down           lowerlayerdown     MLAG_PortChannel
Po6                            down           lowerlayerdown     MLAG_PortChannel
Vl11                           up             up                 VRF_A_VLAN_11
Vl12                           up             up                 VRF_A_VLAN_12
Vl3009                         up             up                 MLAG_L3_VRF_VRF_A
Vl4093                         up             up                 MLAG_L3
Vl4094                         up             up                 MLAG
Vl4097                         up             up                 
Vx1                            up             up                 Leaf2_VTEP
