Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_Leaf1_Ethernet1
Et2                            up             up                 P2P_Leaf2_Ethernet1
Et3                            up             up                 P2P_Leaf3_Ethernet1
Et4                            up             up                 P2P_Leaf4_Ethernet1
Et5                            up             up                 P2P_Leaf5_Ethernet1
Et6                            up             up                 P2P_Leaf6_Ethernet1
Lo0                            up             up                 ROUTER_ID
Ma0                            up             up                 OOB_MANAGEMENT
